File,Proposed_Action,Size(Bytes)
eod_data_resolution_production_history_v17.py,DATA_RESOLUTION,116
eod_data_resolution_production_manager_v17.py,DATA_RESOLUTION,107
eod_data_resolution_production_metrics_v17.py,DATA_RESOLUTION,116
eod_data_resolution_production_monitor_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",116
eod_data_resolution_production_report_v17.py,DATA_RESOLUTION,113
eod_data_resolution_production_status_v17.py,DATA_RESOLUTION,113
eod_data_resolution_production_tracker_v17.py,DATA_RESOLUTION,114
eod_data_resolution_production_validation_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",123
eod_data_resolution_refresh_hook_v17.py,DATA_RESOLUTION,104
eod_data_resolution_replay_alert_v17.py,DATA_RESOLUTION,95
eod_data_resolution_replay_audit_v17.py,DATA_RESOLUTION,95
eod_data_resolution_replay_checkpoint_v17.py,"DATA_RESOLUTION,DATA_VALIDATION",110
eod_data_resolution_replay_comparison_engine_v17.py,DATA_RESOLUTION,113
eod_data_resolution_replay_dashboard_view_v17.py,DATA_RESOLUTION,111
eod_data_resolution_replay_date_controller_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",113
eod_data_resolution_replay_history_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",113
eod_data_resolution_replay_manager_v17.py,DATA_RESOLUTION,110
eod_data_resolution_replay_range_selector_v17.py,DATA_RESOLUTION,113
eod_data_resolution_replay_snapshot_loader_v17.py,"DATA_INGESTION,DATA_RESOLUTION",113
eod_data_resolution_report_status_v17.py,DATA_RESOLUTION,105
eod_data_resolution_runtime_manager_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",112
eod_data_resolution_runtime_status_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",107
eod_data_resolution_scope_filter_v17.py,DATA_RESOLUTION,103
eod_data_resolution_shadow_validation_v17.py,"DATA_RESOLUTION,DATA_VALIDATION,ARCHIVE_REVIEW",1366
eod_data_resolution_snapshot_bridge_v17.py,"DATA_RESOLUTION,DATA_ADAPTER_CONNECTOR",109
eod_data_resolution_snapshot_view_v17.py,DATA_RESOLUTION,103
eod_data_resolution_source_indicator_v17.py,"DATA_INGESTION,DATA_RESOLUTION",113
eod_data_resolution_status_panel_v17.py,DATA_RESOLUTION,103
eod_data_resolution_switch_controller_v17.py,"DATA_RESOLUTION,MOVE_TO_RUNTIME_REVIEW",1001
eod_data_source_status_v17.py,DATA_INGESTION,95
eod_date_resolver_v17.py,DATA_RESOLUTION,995
eod_fallback_data_manager_v17.py,REVIEW_REQUIRED,166
eod_governance_bridge_connector_v17.py,DATA_ADAPTER_CONNECTOR,109
eod_governance_dashboard_connector_v17.py,DATA_ADAPTER_CONNECTOR,115
eod_historical_loader_v17.py,DATA_INGESTION,95
eod_latest_data_resolver_v17.py,DATA_RESOLUTION,100
eod_market_data_loader_v17.py,DATA_INGESTION,91
eod_missing_data_alert_manager_v17.py,REVIEW_REQUIRED,106
eod_pattern_data_connector_v17.py,DATA_ADAPTER_CONNECTOR,95
eod_pipeline_connector_v17.py,DATA_ADAPTER_CONNECTOR,96
eod_probability_data_connector_v17.py,DATA_ADAPTER_CONNECTOR,102
eod_replay_bridge_connector_v17.py,DATA_ADAPTER_CONNECTOR,101
eod_replay_dashboard_connector_v17.py,DATA_ADAPTER_CONNECTOR,110
eod_report_loader_v17.py,DATA_INGESTION,83
eod_runtime_data_change_audit_v17.py,MOVE_TO_RUNTIME_REVIEW,99
eod_runtime_data_compliance_v17.py,MOVE_TO_RUNTIME_REVIEW,101
eod_runtime_data_flow_validation_v17.py,"DATA_VALIDATION,MOVE_TO_RUNTIME_REVIEW",113
eod_runtime_data_policy_v17.py,MOVE_TO_RUNTIME_REVIEW,93
eod_runtime_data_recovery_v17.py,MOVE_TO_RUNTIME_REVIEW,99
eod_runtime_data_watchdog_v17.py,MOVE_TO_RUNTIME_REVIEW,94
eod_runtime_module_loader_v17.py,"DATA_INGESTION,MOVE_TO_RUNTIME_REVIEW",90
eod_runtime_resource_monitor_v17.py,"DATA_INGESTION,MOVE_TO_RUNTIME_REVIEW",98
eod_runtime_resource_policy_v17.py,"DATA_INGESTION,MOVE_TO_RUNTIME_REVIEW",101
eod_runtime_service_data_bridge_v17.py,"DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",101
eod_score_data_connector_v17.py,DATA_ADAPTER_CONNECTOR,91
eod_service_bridge_connector_v17.py,"DATA_ADAPTER_CONNECTOR,MOVE_TO_RUNTIME_REVIEW",103
eod_trade_validation_connector_v17.py,"DATA_VALIDATION,DATA_ADAPTER_CONNECTOR",107
eod_validation_bridge_connector_v17.py,"DATA_VALIDATION,DATA_ADAPTER_CONNECTOR",109
eod_view_bridge_connector_v17.py,DATA_ADAPTER_CONNECTOR,97
hmme_master_dataset_builder_v17.py,REVIEW_REQUIRED,1172
hmme_ohlc_importer_v17.py,DATA_INGESTION,1721
ntis_portal_connector_v17.py,DATA_ADAPTER_CONNECTOR,189
ntis_portal_data_integrity_checker_v17.py,DATA_VALIDATION,186
